doi,source_pdf,abstract,material,substrate,electrolyte,overpotential_mV,current_density,confidence
10.1038/s41467-025-65626-x,Atomic-scale_insights_into_surface_reconstruction_and_transf.pdf,"Optimizing the activity and longevity of oxygen evolution reaction (OER) electrocatalysts requires an atomic-scale understanding of multiple reconstruction and transformation processes occurring in the surface and sub-surface regions of the electrocatalyst. Herein, a multimodal method combining X-ray absorption ﬁne structure and photoemission spectroscopy, in situ Raman spectroscopy, transmission electron microscopy and atom probe tomography with electrochemical measurements is employed to unveil how the changes in oxidation states, atomic coordination, structure and composition on ~20 nm CoCr2O4 and Co2CrO4 spinel nanoparticle surfaces affect OER activity and stability in alkaline media. CoCr2O4 undergoes an activation process and subsequently retains high OER activity for extended durations. The activation of CoCr2O4 is induced by a steady and substantial Cr dissolution that facilitates bulk incorporation and intercalation of hydroxide ions, coupled with the highly reversible (CoII Td,Cr) (OH)2 ↔(CoIII Oct,Cr)OOH transformation, which enhances OER activity and stability. In comparison, a ~ 2 nm thick amorphous self-limiting Cr-based (oxy) hydroxide forms on Co2CrO4 upon cycling, contributing to OER activity. As OER proceeds, such Cr-based (oxy)hydroxide layers on Co2CrO4 are depleted from the surfaces, leading to deteriorating activity. Overall, this study demonstrates that continuous Cr dissolution triggers an intercalation-assisted (CoII Td,Cr) (OH)2 ↔(CoIII Oct,Cr)OOH transformation that can promote the OER activity and stability of Co-based spinels. With ever-increasing energy demands and environmental concerns, access to affordable and renewable energy is essential for sustaining global prosperity and economic growth. Electrocatalytic water splitting, when combined with renewable electricity generation technologies such as fuel cells, is expected to emerge as a lowemission method of sustainable energy conversion and storage1. However, improving the efﬁciency of water electrolysers remains challenging, mainly due to limitations in the cost and performance of electrocatalysts at the anode, where the oxygen evolution reaction (OER) occurs2. Although benchmark noble metal-",CoCr2O4,glassy carbon,1.0 M KOH,370.0,10.0,1.0
10.1038/s41467-025-55857-3,Operando_monitoring_of_the_functional_role_of_tetrahedral_co.pdf,"The complexity of the intrinsic oxygen evolution reaction (OER) mechanism, particularly the precise relationships between the local coordination geometry of active metal centers and the resulting OER kinetics, remains to be fully understood. Herein, we construct a series of 3 d transition metal-incorporated cobalt hydroxide-based nanobox architectures for the OER which contain tetrahedrally coordinated Co(II) centers. Combination of bulkand surfacesensitive operando spectroelectrochemical approaches reveals that tetrahedral Co(II) centers undergo a dynamic transformation into highly active Co(IV) intermediates acting as the true OER active species which activate lattice oxygen during the OER. Such a dynamic change in the local coordination geometry of Co centers can be further facilitated by partial Fe incorporation. In comparison, the formation of such active Co(IV) species is found to be hindered in CoOOH and Co-FeOOH, which are predominantly containing [CoIIIO6] and [CoII/FeIIIO6] octahedra, respectively, but no mono-μ-oxo-bridged [CoIIO4] moieties. This study offers a comprehensive view of the dynamic role of local coordination geometry of active metal centers in the OER kinetics. Facilitating the kinetically demanding four-electron transfer process of the OER is the key to improving the efﬁciency of hydrogen production from water electrolysis1–5. To date, catalysts that deliver the most promising catalytic OER activities are restricted to the expensive platinum group metals, and should ideally be replaced with low-cost 3 d transition metals. Among the currently developed catalysts, transition metal-based oxides and (oxy)hydroxides display state-of-the-art catalytic activity for the OER, which beneﬁt from the similarity of their active structural moieties to key OER intermediates6–10. However, a comprehensive understanding of the structure-activity relationships of oxide-based catalysts on the atomic level still remains to be established. OER operating under alkaline conditions proceeds via diverse reaction pathways: (i) the adsorbate evolution mechanism (AEM) involves a proton-coupled electron transfer (PCET) process to gen-",CoII/FeIIIO6,carbon paper,1.0 M KOH,225.0,20.0,1.0
10.1038/s41557-025-01784-1,Oxidation_of_interfacial_cobalt_controls_the_pH_dependence_o.pdf,"Transition metal oxides often undergo dynamic surface reconstruction under oxygen evolution reaction conditions to form the active state, which differs in response to the electrolyte pH. The resulting pH dependency of catalytic activity is commonly observed but poorly understood. Herein we track Co oxidation state changes at different pH-directed (hydr)oxide/ electrolyte interfaces using operando X-ray absorption spectroscopy characterizations. Combined with in situ electrochemical analyses, we establish correlations between Co redox dynamics, the flat band potential and Co oxidation state changes to explain the pH dependency of the oxygen evolution activity. Alkaline environments provide a low flat band potential that yields a low-potential Co redox transformation, which favours surface reconstruction. Neutral and acidic environments afford an anodic shift of the Co redox transformation that increases the catalytic overpotential. The larger overpotential in neutral environments is attributable to poor Co atom polarizability and slow Co oxidation state changes. These findings reveal that interfacial Co oxidation state changes directly determine the pH dependency of the oxygen evolution reaction activity. The physicochemical properties of a catalyst/electrolyte interface determine the characteristics of a heterogeneous electrocatalytic reaction1. Such properties include the pristine catalyst surface structure,",Transition metal oxides,mesh,0.1 M KOH,500.0,20.0,1.0
10.1038/s41467-024-46801-y,The_formation_of_unsaturated_IrOxin_SrIrO3by_cobalt-doping_f.pdf,"Electrocatalytic water splitting is a promising route for sustainable hydrogen production. However, the high overpotential of the anodic oxygen evolution reaction poses signiﬁcant challenge. SrIrO3-based perovskite-type catalysts have shown great potential for acidic oxygen evolution reaction, but the origins of their high activity are still unclear. Herein, we develop a Co-doped SrIrO3 system to enhance oxygen evolution reaction activity and elucidate the origin of catalytic activity. In situ experiments reveal Co activates surface lattice oxygen, rapidly exposing IrOx active sites, while bulk Co doping optimizes the adsorbate binding energy of IrOx. The Co-doped SrIrO3 demonstrates high oxygen evolution reaction electrocatalytic activity, markedly surpassing the commercial IrO2 catalysts in both conventional electrolyzer and proton exchange membrane water electrolyzer. Water splitting for hydrogen production offers the advantage of pro-",SI6C1,mesh,0.5 M H2SO4,245.0,10.0,1.0
10.1038/s41467-021-26025-0,Restructuring_highly_electron-deficient_metal-metal_oxides_f.pdf,"The poor catalyst stability in acidic oxidation evolution reaction (OER) has been a long-time issue. Herein, we introduce electron-deﬁcient metal on semiconducting metal oxidesconsisting of Ir (Rh, Au, Ru)-MoO3 embedded by graphitic carbon layers (IMO) using an electrospinning method. We systematically investigate IMO’s structure, electron transfer behaviors, and OER catalytic performance by combining experimental and theoretical studies. Remarkably, IMO with an electron-deﬁcient metal surface (Irx+; x > 4) exhibit a low overpotential of only ~156 mV at 10 mA cm−2 and excellent durability in acidic media due to the high oxidation state of metal on MoO3. Furthermore, the proton dissociation pathway is suggested via surface oxygen serving as proton acceptors. This study suggests high stability with high catalytic performance in these materials by creating electron-deﬁcient surfaces and provides a general, unique strategy for guiding the design of other metal-semiconductor nanocatalysts.",MoO3,foil,0.5 M H2SO4,156.0,10.0,1.0
10.1038/s41565-024-01807-x,Out-of-plane_coordination_of_iridium_single_atoms_with_organ.pdf,"Advancements in single-atom-based catalysts are crucial for enhancing oxygen evolution reaction (OER) performance while reducing precious metal usage. A comprehensive understanding of underlying mechanisms will expedite this progress further. Here we report Ir single atoms coordinated out-of-plane w­it­h d­im­et­hy­li­mi­dazole (MI) on CoFe hydroxide (Ir1/(Co,Fe)-OH/MI). This Ir1/(Co,Fe)-OH/MI catalyst, which was prepared using a simple immersion method, delivers ultralow overpotentials of 179 mV at a current density of 10 mA cm−2 and 257 mV at 600 mA cm−2 as well as an ultra-small Tafel slope of 24 mV dec−1. Furthermore, Ir1/(Co,Fe)-OH/MI has a total mass activity exceeding that of commercial IrO2 by a factor of 58.4. Ab initio simulations indicate that the coordination of MI leads to electron redistribution around the Ir sites. This causes a positive shift in the d­-­ba­nd c­en­tre a­t a­d­j­ac­ent Ir and Co sites, facilitating an optimal energy pathway for OER. Electrochemical water splitting powered by renewable electricity is a promising green pathway to realizing large-scale hydrogen",IrO2/RuO2,foil,1 M KOH,380.0,10.0,1.0
10.1038/s41467-024-55688-8,Tracking_the_correlation_between_spintronic_structure_and_ox.pdf,"Regulating the spintronic structure of electrocatalysts can improve the oxygen evolution reaction performance efﬁciently. Nonetheless, the effects of tuning the spintronic structure for the oxygen evolution reaction mechanisms have rarely been discussed. Here, we show a ruthenium-cobalt-tin oxide with optimized spintronic structure due to the quantum spin interaction of Ru and Co. The speciﬁc spintronic structure of ruthenium-cobalt-tin oxide promotes the charge transfer kinetics and intermediates evolution behavior under applied potential, generating long-lived active species with higher spin density sites for the oxygen evolution reaction after the reconstruction process. Moreover, the ruthenium-cobalt-tin oxide possesses decoupled proton-electron transfer procedure during the oxygen evolution reaction process, demonstrating that the electron transfer procedure of O-O bond formation between *O intermediate and lattice oxygen in Co-O-Ru is the rate-determining step of the oxygen evolution reaction process. This work provides rational perspectives on the correlation between spintronic structure and oxygen evolution reaction mechanism. The industrial revolutions have introduced advanced technology to affect the lifestyle of human beings1. Behind the boom are environmental deterioration and energy crises due to the extreme dependence on fossil fuels. To date, considerable efforts have been devoted to developing sustainable methods to yield renewable fuel2–4. Electrochemistry technology is an efﬁcient way to produce green valueadded products, because of its fast reaction rates, optimized transformation efﬁciency, and high selectivity5–7. In particular, the oxygen evolution reaction (OER) is crucial for extending electrochemistry technology and plays an indispensable role in supplying protons and balancing charge. Generally, the OER involves a complex process which includes electron transfer, cleavage of O-H and O-O formation,",A-RSCOH,foil,1 M KOH,193.0,10.0,1.0
10.1038/s41467-025-63870-9,Boosting_and_stabilizing_oxygen_evolution_reaction_through_R.pdf,"Efﬁcient and durable electrocatalysts for the oxygen evolution reaction (OER) are essential for advancing water splitting technologies, which enable sustainable hydrogen production. The integration of amorphous oxide supports with metal single atoms offers a promising strategy to precisely tuning the electronic structure and improving the exposure of active sites. Here, we report an amorphous NiMoOx support anchored with Ru single atoms",RuO2,foil,1 M KOH,220.0,10.0,1.0
10.1038/s41467-025-64346-6,Crystallinity-dependent_structural_evolution_of_CoS2catalyst.pdf,"Transition metal sulﬁdes (TMSs) are promising catalysts for water oxidation due to their unique electronic properties, but their application is limited by structural instability during the oxygen evolution reaction (OER). The speciﬁc mechanisms by which crystallinity variations in TMSs inﬂuence their structural evolution and catalytic performance remain poorly understood. Here, we investigate the structural evolution of CoS2 catalysts with varying crystallinities and their effect on the OER. In-situ characterization and density functional theory (DFT) calculations reveal that lower crystallinity enables rapid equilibrium among surface sulfur-oxygen exchange, metal site activation, and oxygen intermediate evolution, enhancing the transformation of bulk phase into small amounts of sulfur-stabilized oxyhydroxide and improving OER performance. Conversely, moderate crystallinity leads to self-corrosion and progressive structure collapse from the exterior inward, resulting in deactivation. This work highlights the potential of crystallinity control in optimizing the electronic states and catalytic behavior of water oxidation catalysts. Electrocatalytic overall water splitting technologies, powered by renewable electricity to produce green hydrogen, are essential for addressing environmental concerns and meeting the growing global",RC69,mesh,1 M KOH,276.0,10.0,1.0
10.1038/s41467-024-47568-y,Electric-field-assisted_proton_coupling_enhanced_oxygen_evol.pdf,"The discovery of Mn-Ca complex in photosystem II stimulates research of manganese-based catalysts for oxygen evolution reaction (OER). However, conventional chemical strategies face challenges in regulating the four electron-proton processes of OER. Herein, we investigate alpha-manganese dioxide (α-MnO2) with typical MnIV-O-MnIII-HxO motifs as a model for adjusting proton coupling. We reveal that pre-equilibrium proton-coupled redox transition provides an adjustable energy proﬁle for OER, paving the way for in-situ enhancing proton coupling through a new “reagent”— external electric ﬁeld. Based on the α-MnO2 single-nanowire device, gate voltage induces a 4-fold increase in OER current density at 1.7 V versus reversible hydrogen electrode. Moreover, the proof-of-principle external electric ﬁeld-assisted ﬂow cell for water splitting demonstrates a 34% increase in current density and a 44.7 mW/cm² increase in net output power. These ﬁndings indicate an indepth understanding of the role of proton-incorporated redox transition and develop practical approach for high-efﬁciency electrocatalysis. Oxygen evolution reaction (OER) is one of the most common reactions for molecular oxygen formation. Owing to its high energy barrier and sluggish reaction kinetics, OER becomes the rate-determining step in many biologic and chemical",MnO2,glassy carbon,1 M KOH,440.0,100.0,1.0
