doi,source_pdf,title,abstract,material,substrate,electrolyte,overpotential_mV,current_density,confidence,extraction_note,anchor_found,anchor_sentence
10.1038/s41598-026-52116-3,Sustainable_synthesis_of_Ni-doped_Co3O4graphene_from_recycle.pdf,© The Author(s) 2026. Open Access This article is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,"Developing sustainable and cost-effective electrocatalysts for the oxygen evolution reaction (OER) is essential for efficient water splitting. Herein, Ni- doped Co3O4 supported on graphene (Ni-Co3O4@G) is synthesized using cobalt recovered from spent lithium-ion batteries via a hydrothermal– calcination approach. The composite exhibits a hierarchical porous structure with uniformly dispersed nanoparticles on conductive graphene sheets, providing abundant active sites and enhanced charge transfer. XPS analysis confirms mixed valence states (Co²⁺/Co³⁺ and Ni²⁺/Ni³⁺) and rich oxygen defects, contributing to improved catalytic activity. Electrochemical results in alkaline media show that Ni-Co3O4@G achieves superior OER performance, delivering a low overpotential (1.66 V vs. RHE at 10 mA cm⁻²), a small Tafel slope (107.52 mV dec⁻¹), and excellent stability over 3000 cycles. This work demonstrates a green strategy for converting recycled cobalt into efficient OER electrocatalysts for sustainable hydrogen production.",Ni-Co3O4@G,glassy carbon,1 M KOH,,,0.55,material_without_anchor,False,
10.1038/ncomms5345,Electrochemical_tuning_of_layered_lithium_transition_metal_o.pdf,"1 Department of Material Science and Engineering, Stanford University, Stanford, California 94305, USA. 2 State Key Laboratory of Chemical Resource","Searching for low-cost and efﬁcient catalysts for the oxygen evolution reaction has been actively pursued owing to its importance in clean energy generation and storage. While developing new catalysts is important, tuning the electronic structure of existing catalysts over a wide electrochemical potential range can also offer a new direction. Here we demonstrate a method for electrochemical lithium tuning of catalytic materials in organic electrolyte for subsequent enhancement of the catalytic activity in aqueous solution. By",2 State Key Laboratory,foil,0.1 M KOH,,,0.55,material_without_anchor,False,
10.1038/ncomms9249,Covalency-reinforced_oxygen_evolution_reaction_catalyst.pdf,OPEN,"The oxygen evolution reaction that occurs during water oxidation is of considerable importance as an essential energy conversion reaction for rechargeable metal–air batteries and direct solar water splitting. Cost-efﬁcient ABO3 perovskites have been studied extensively because of their high activity for the oxygen evolution reaction; however, they lack stability, and an effective solution to this problem has not yet been demonstrated. Here we report that the Fe4 þ-based quadruple perovskite CaCu3Fe4O12 has high activity, which is comparable to or exceeding those of state-of-the-art catalysts such as Ba0.5Sr0.5Co0.8Fe0.2O3  d and the gold standard RuO2. The covalent bonding network incorporating multiple Cu2 þ and Fe4 þ transition metal ions signiﬁcantly enhances the",Ba0.5Sr0.5Co0.8Fe0.2O3,glassy carbon,0.1 M KOH,,,0.55,material_without_anchor,False,
10.1038/s41467-022-28260-5,Electrode_reconstruction_strategy_for_oxygen_evolution_react.pdf,OPEN,"Computational calculations and experimental studies reveal that the CoOOH phase and the intermediate-spin (IS) state are the key factors for realizing efﬁcient Co-based electrocatalysts for the oxygen evolution reaction (OER). However, according to thermodynamics, general cobalt oxide converts to the CoO2 phase under OER condition, retarding the OER kinetics. Herein, we demonstrate a simple and scalable strategy to fabricate electrodes with maintaining Fe-CoOOH phase and an IS state under the OER. The changes of phase and spin states were uncovered by combining in-situ/operando X-ray based absorption spectroscopy and Raman spectroscopy. Electrochemical reconstruction of chalcogenide treated Co foam affords a highly enlarged active surface that conferred excellent catalytic activity and stability in a large-scale water electrolyzer. Our ﬁndings are meaningful in that the calculated results were experimentally veriﬁed through the operando analyses. It also proposes a new strategy for electrode fabrication and conﬁrms the importance of real active phases and spin states under a particular reaction condition.",CoO2 phase,foam,1 M KOH,,,0.55,material_without_anchor,False,
10.1038/s41467-025-65626-x,Atomic-scale_insights_into_surface_reconstruction_and_transf.pdf,Atomic-scale insights into surface reconstruction and transformation in Co-Cr spinel oxides during the oxygen evolution reaction,"Optimizing the activity and longevity of oxygen evolution reaction (OER) electrocatalysts requires an atomic-scale understanding of multiple reconstruction and transformation processes occurring in the surface and sub-surface regions of the electrocatalyst. Herein, a multimodal method combining X-ray absorption ﬁne structure and photoemission spectroscopy, in situ Raman spectroscopy, transmission electron microscopy and atom probe tomography with electrochemical measurements is employed to unveil how the changes in oxidation states, atomic coordination, structure and composition on ~20 nm CoCr2O4 and Co2CrO4 spinel nanoparticle surfaces affect OER activity and stability in alkaline media. CoCr2O4 undergoes an activation process and subsequently retains high OER activity for extended durations. The activation of CoCr2O4 is induced by a steady and substantial Cr dissolution that facilitates bulk incorporation and intercalation of hydroxide ions, coupled with the highly reversible (CoII Td,Cr) (OH)2 ↔(CoIII Oct,Cr)OOH transformation, which enhances OER activity and stability. In comparison, a ~ 2 nm thick amorphous self-limiting Cr-based (oxy) hydroxide forms on Co2CrO4 upon cycling, contributing to OER activity. As OER proceeds, such Cr-based (oxy)hydroxide layers on Co2CrO4 are depleted from the surfaces, leading to deteriorating activity. Overall, this study demonstrates that continuous Cr dissolution triggers an intercalation-assisted (CoII Td,Cr) (OH)2 ↔(CoIII Oct,Cr)OOH transformation that can promote the OER activity and stability of Co-based spinels. With ever-increasing energy demands and environmental concerns, access to affordable and renewable energy is essential for sustaining global prosperity and economic growth. Electrocatalytic water splitting, when combined with renewable electricity generation technologies such as fuel cells, is expected to emerge as a lowemission method of sustainable energy conversion and storage1. However, improving the efﬁciency of water electrolysers remains challenging, mainly due to limitations in the cost and performance of electrocatalysts at the anode, where the oxygen evolution reaction (OER) occurs2. Although benchmark noble metal-",CoCr2O4,glassy carbon,1.0 M KOH,370,10,1.0,complete,True,"S2). CoCr2O4 exhibited slightly better OER activity than Co2CrO4, as the over- potential of CoCr2O4 after the ﬁrst cycle is ~370 mV at 10 mA cm–2, lower than that of Co2CrO4 (395 ± 2 mV) (Fig."
10.1038/s41467-023-40461-0,Comparative_study_of_Co3O4111_CoFe2O4111_and_Fe3O4111_thin_f.pdf,"Comparative study of Co3O4(111),","Water electrolysis to produce ‘green H2’ with renewable energy is a promising option for the upcoming green economy. However, the slow and complex oxygen evolution reaction at the anode limits the efﬁciency. Co3O4 with added iron is a capable catalyst for this reaction, but the role of iron is presently unclear. To investigate this topic, we compare epitaxial Co3O4(111), CoFe2O4(111), and Fe3O4(111) thin ﬁlm model electrocatalysts, combining quasi in-situ preparation and characterization in ultra-high vacuum with electrochemistry experiments. The well-deﬁned composition and structure of the thin epitaxial ﬁlms permits the obtention of quantitatively comparable results. CoFe2O4(111) is found to be up to about four times more active than Co3O4(111) and about nine times more than Fe3O4(111), with the activity depending acutely on the Co/Fe concentration ratio. Under reaction conditions, all three oxides are covered by oxyhydroxide. For CoFe2O4(111), the oxyhydroxide’s Fe/Co concentration ratio is stabilized by partial iron dissolution. Recent years have seen a push towards renewable energy sources in the transition away from our dependence on fossil fuels. However, due to natural ﬂuctuations of sources such as solar, wind, and tidal energy, an efﬁcient energy storage path is needed for situations where the production level does not match the consumption. One potential route for energy storage is the electrocatalytic production of H2 via water splitting. H2 produced this way is called green hydrogen when",CoFe2O4,foil,0.1 M KOH,,,0.55,material_without_anchor,False,
10.1038/s41598-026-49517-9,Synergistic_interface_engineering_of_Ni-integrated_Co-ZIF67_.pdf,© The Author(s) 2026. Open Access This article is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,"Ejtemaei M., Hanifi S. et al. Synergistic interface engineering of Ni-integrated Co-ZIF67 on two-demensional MXene for enhanced oxygen evolution reaction. Sci Rep (2026). https://doi.org/10.1038/",Co-ZIF67,foam,1 M KOH,,,0.55,material_without_anchor,False,
10.1038/s41467-024-47409-y,Surface_oxidationspin_state_determines_oxygen_evolution_reac.pdf,Surface oxidation/spin state determines oxygen evolution reaction activity of cobalt-based catalysts in acidic environment,"Co-based catalysts are promising candidates to replace Ir/Ru-based oxides for oxygen evolution reaction (OER) catalysis in an acidic environment. However, both the reaction mechanism and the active species under acidic conditions remain unclear. In this study, by combining surface-sensitive soft X-ray absorption spectroscopy characterization with electrochemical analysis, we discover that the acidic OER activity of Co-based catalysts are determined by their surface oxidation/spin state. Surfaces composed of only high-spin CoII are found to be not active due to their unfavorable water dissociation to form CoIIIOH species. By contrast, the presence of low-spin CoIII is essential, as it promotes surface reconstruction of Co oxides and, hence, OER catalysis. The correlation between OER activity and Co oxidation/spin state signiﬁes a breakthrough in deﬁning the structure-activity relationship of Co-based cata-",Ir/Ru,mesh,0.1 M KOH,,,0.55,material_without_anchor,False,
10.1038/s41467-025-55857-3,Operando_monitoring_of_the_functional_role_of_tetrahedral_co.pdf,Operando monitoring of the functional role of tetrahedral cobalt centers for the oxygen evolution reaction,"The complexity of the intrinsic oxygen evolution reaction (OER) mechanism, particularly the precise relationships between the local coordination geometry of active metal centers and the resulting OER kinetics, remains to be fully understood. Herein, we construct a series of 3 d transition metal-incorporated cobalt hydroxide-based nanobox architectures for the OER which contain tetrahedrally coordinated Co(II) centers. Combination of bulkand surfacesensitive operando spectroelectrochemical approaches reveals that tetrahedral Co(II) centers undergo a dynamic transformation into highly active Co(IV) intermediates acting as the true OER active species which activate lattice oxygen during the OER. Such a dynamic change in the local coordination geometry of Co centers can be further facilitated by partial Fe incorporation. In comparison, the formation of such active Co(IV) species is found to be hindered in CoOOH and Co-FeOOH, which are predominantly containing [CoIIIO6] and [CoII/FeIIIO6] octahedra, respectively, but no mono-μ-oxo-bridged [CoIIO4] moieties. This study offers a comprehensive view of the dynamic role of local coordination geometry of active metal centers in the OER kinetics. Facilitating the kinetically demanding four-electron transfer process of the OER is the key to improving the efﬁciency of hydrogen production from water electrolysis1–5. To date, catalysts that deliver the most promising catalytic OER activities are restricted to the expensive platinum group metals, and should ideally be replaced with low-cost 3 d transition metals. Among the currently developed catalysts, transition metal-based oxides and (oxy)hydroxides display state-of-the-art catalytic activity for the OER, which beneﬁt from the similarity of their active structural moieties to key OER intermediates6–10. However, a comprehensive understanding of the structure-activity relationships of oxide-based catalysts on the atomic level still remains to be established. OER operating under alkaline conditions proceeds via diverse reaction pathways: (i) the adsorbate evolution mechanism (AEM) involves a proton-coupled electron transfer (PCET) process to gen-",CoII/FeIIIO6,carbon paper,1.0 M KOH,225,20,1.0,nonstandard_current_density,True,"e Calculated free energy diagrams of OER intermediates adsorbed on Co-/CoFe-NBs via the LOM pathways. Article https://doi.org/10.1038/s41467-025-55857-3 Nature Communications| (2025)16:580 9 for O2 generation, which retain a current density of 20 mA/cm2 with a low overpotential of ca."
10.1038/s41557-025-01784-1,Oxidation_of_interfacial_cobalt_controls_the_pH_dependence_o.pdf,Oxidation of interfacial cobalt controls the pH dependence of the oxygen evolution reaction,"Transition metal oxides often undergo dynamic surface reconstruction under oxygen evolution reaction conditions to form the active state, which differs in response to the electrolyte pH. The resulting pH dependency of catalytic activity is commonly observed but poorly understood. Herein we track Co oxidation state changes at different pH-directed (hydr)oxide/ electrolyte interfaces using operando X-ray absorption spectroscopy characterizations. Combined with in situ electrochemical analyses, we establish correlations between Co redox dynamics, the flat band potential and Co oxidation state changes to explain the pH dependency of the oxygen evolution activity. Alkaline environments provide a low flat band potential that yields a low-potential Co redox transformation, which favours surface reconstruction. Neutral and acidic environments afford an anodic shift of the Co redox transformation that increases the catalytic overpotential. The larger overpotential in neutral environments is attributable to poor Co atom polarizability and slow Co oxidation state changes. These findings reveal that interfacial Co oxidation state changes directly determine the pH dependency of the oxygen evolution reaction activity. The physicochemical properties of a catalyst/electrolyte interface determine the characteristics of a heterogeneous electrocatalytic reaction1. Such properties include the pristine catalyst surface structure,",Transition metal oxides,mesh,0.1 M KOH,500,20,1.0,nonstandard_current_density,True,"2c). The overpotentials at a mass current density of 20 A g−1 (η20) are 376, 531 and 500 mV in alkaline, neutral and acidic electrolytes, respectively."
